"pair","carrier","dist","pass","port1","port2","carrier_name"
"CMH-TPA","WN",829,147914,"CMH","TPA","Southwest"
"BZN-DFW","AA",1163,147658,"BZN","DFW","American"
"ATL-MIA","WN",594,147636,"ATL","MIA","Southwest"
"ORD-SJU","AA",2072,147582,"ORD","SJU","American"
"DEN-TUL","WN",541,147379,"DEN","TUL","Southwest"
"BOS-FLL","DL",1237,147301,"BOS","FLL","Delta"
"FAR-MSP","OO",223,147282,"FAR","MSP","Skywest"
"JFK-LAX","UA",2475,147189,"JFK","LAX","United"
"MCO-PHX","WN",1849,147106,"MCO","PHX","Southwest"
"HNL-PHX","HA",2917,147064,"HNL","PHX","Hawaiian"
"ORD-PHL","UA",678,146832,"ORD","PHL","United"
"DCA-MCO","B6",759,146825,"DCA","MCO","Jetblue"
"HNL-SAN","WN",2614,146438,"HNL","SAN","Southwest"
"FLL-SEA","AS",2717,146365,"FLL","SEA","Alaska"
"DEN-LAX","AA",862,146273,"DEN","LAX","American"
"IAH-PHL","UA",1325,146262,"IAH","PHL","United"
"DEN-DRO","OO",251,146237,"DEN","DRO","Skywest"
"IAH-SEA","AS",1874,145915,"IAH","SEA","Alaska"
"BOS-RDU","B6",612,145877,"BOS","RDU","Jetblue"
"CLE-TPA","F9",927,145733,"CLE","TPA","Frontier"
"LAS-MCO","F9",2039,145636,"LAS","MCO","Frontier"
"BZN-DEN","WN",524,145595,"BZN","DEN","Southwest"
"RNO-SLC","DL",422,145445,"RNO","SLC","Delta"
"ATL-RIC","WN",481,145243,"ATL","RIC","Southwest"
"BDL-MCO","NK",1050,144787,"BDL","MCO","Spirit"
"EWR-LAS","B6",2227,144195,"EWR","LAS","Jetblue"
"HNL-ITO","WN",216,144071,"HNL","ITO","Southwest"
"BNA-SAT","WN",822,144019,"BNA","SAT","Southwest"
"SEA-SFO","OO",679,143724,"SEA","SFO","Skywest"
"BOS-MIA","DL",1258,143588,"BOS","MIA","Delta"
"DAL-ECP","WN",674,143581,"DAL","ECP","Southwest"
"AUS-SAN","WN",1164,143376,"AUS","SAN","Southwest"
"DEN-IND","UA",977,143295,"DEN","IND","United"
"MDW-SEA","WN",1733,143273,"MDW","SEA","Southwest"
"IAD-RSW","UA",891,143226,"IAD","RSW","United"
"BOI-OAK","WN",512,143108,"BOI","OAK","Southwest"
"ATL-RDU","WN",356,143015,"ATL","RDU","Southwest"
"LAX-OAK","NK",337,142968,"LAX","OAK","Spirit"
"DEN-RDU","WN",1436,142899,"DEN","RDU","Southwest"
"DCA-TPA","AA",814,142679,"DCA","TPA","American"
"ORD-PBI","AA",1143,142607,"ORD","PBI","American"
"ATL-DCA","WN",547,142244,"ATL","DCA","Southwest"
"DEN-PIT","WN",1290,142228,"DEN","PIT","Southwest"
"ELP-LAS","WN",583,142152,"ELP","LAS","Southwest"
"FLL-PIT","NK",994,142131,"FLL","PIT","Spirit"
"EWR-IAH","NK",1400,141945,"EWR","IAH","Spirit"
"BNA-ORD","AA",409,141872,"BNA","ORD","American"
"BNA-PNS","WN",391,141558,"BNA","PNS","Southwest"
"CHS-JFK","B6",636,141104,"CHS","JFK","Jetblue"
"BWI-CVG","WN",430,140947,"BWI","CVG","Southwest"
"ALB-MDW","WN",717,140865,"ALB","MDW","Southwest"
"LAX-RDU","DL",2239,140798,"LAX","RDU","Delta"
"HNL-SMF","HA",2462,140635,"HNL","SMF","Hawaiian"
"BNA-EWR","UA",748,140557,"BNA","EWR","United"
"PDX-SJC","WN",569,140467,"PDX","SJC","Southwest"
"BWI-MIA","AA",946,140450,"BWI","MIA","American"
"IAD-MDW","WN",577,140394,"IAD","MDW","Southwest"
"BWI-ORD","UA",621,140321,"BWI","ORD","United"
"OMA-PHX","AA",1037,140283,"OMA","PHX","American"
"ATL-AVL","DL",164,140102,"ATL","AVL","Delta"
"JFK-SFO","UA",2586,140101,"JFK","SFO","United"
"DCA-ORD","UA",612,140051,"DCA","ORD","United"
"GEG-PHX","AA",1020,139829,"GEG","PHX","American"
"BNA-MSP","OO",695,139591,"BNA","MSP","Skywest"
"DEN-IAD","WN",1452,139581,"DEN","IAD","Southwest"
"LIH-SEA","AS",2701,139233,"LIH","SEA","Alaska"
"JFK-SAN","B6",2446,139096,"JFK","SAN","Jetblue"
"HOU-TUL","WN",453,138980,"HOU","TUL","Southwest"
"PIT-TPA","WN",873,138940,"PIT","TPA","Southwest"
"MCO-MIA","F9",192,138809,"MCO","MIA","Frontier"
"DFW-EGE","AA",721,138622,"DFW","EGE","American"
"KTN-SEA","AS",680,138447,"KTN","SEA","Alaska"
"IDA-SLC","OO",188,138332,"IDA","SLC","Skywest"
"BUR-SFO","WN",326,138325,"BUR","SFO","Southwest"
"COS-PHX","WN",551,138238,"COS","PHX","Southwest"
"BOI-MSP","DL",1142,138182,"BOI","MSP","Delta"
"BDL-MCO","WN",1050,138004,"BDL","MCO","Southwest"
"BZN-SLC","OO",347,137753,"BZN","SLC","Skywest"
"BWI-MKE","WN",641,137388,"BWI","MKE","Southwest"
"BIL-DEN","UA",455,137370,"BIL","DEN","United"
"BDL-SJU","B6",1666,137263,"BDL","SJU","Jetblue"
"CVG-SLC","DL",1450,136848,"CVG","SLC","Delta"
"HPN-MCO","B6",972,136803,"HPN","MCO","Jetblue"
"LIH-OGG","HA",201,136524,"LIH","OGG","Hawaiian"
"LAS-LAX","DL",236,136505,"LAS","LAX","Delta"
"HNL-IAH","UA",3904,136488,"HNL","IAH","United"
"BNA-SLC","DL",1404,136349,"BNA","SLC","Delta"
"AUS-LAS","AA",1090,136238,"AUS","LAS","American"
"HOU-LGA","WN",1428,136196,"HOU","LGA","Southwest"
"DAL-SLC","WN",999,136147,"DAL","SLC","Southwest"
"FLL-LAS","NK",2173,135684,"FLL","LAS","Spirit"
"SJU-TPA","WN",1237,135590,"SJU","TPA","Southwest"
"DEN-GJT","OO",212,135475,"DEN","GJT","Skywest"
"CMH-MCO","NK",802,135442,"CMH","MCO","Spirit"
"DFW-VPS","AA",641,134873,"DFW","VPS","American"
"CMH-FLL","NK",973,134726,"CMH","FLL","Spirit"
"CLT-STT","AA",1520,134551,"CLT","STT","American"
"ANC-PDX","AS",1542,134483,"ANC","PDX","Alaska"
"IAD-PHX","UA",1956,134415,"IAD","PHX","United"
"BOI-PHX","WN",735,134360,"BOI","PHX","Southwest"
"DEN-LAX","DL",862,134297,"DEN","LAX","Delta"
"MCI-MSP","DL",393,134163,"MCI","MSP","Delta"
"CRP-HOU","WN",187,133873,"CRP","HOU","Southwest"
"DAL-SJC","WN",1450,133706,"DAL","SJC","Southwest"
"DEN-MIA","WN",1709,133631,"DEN","MIA","Southwest"
"LAX-STL","WN",1592,133548,"LAX","STL","Southwest"
"SLC-TUS","OO",601,133494,"SLC","TUS","Skywest"
"SEA-STL","AS",1709,133461,"SEA","STL","Alaska"
"LGB-SLC","OO",588,133339,"LGB","SLC","Skywest"
"MCO-STL","F9",882,133180,"MCO","STL","Frontier"
"DFW-LAS","F9",1055,133102,"DFW","LAS","Frontier"
"BOI-DFW","AA",1272,132914,"BOI","DFW","American"
"MKE-RSW","WN",1183,132887,"MKE","RSW","Southwest"
"LAS-SNA","NK",226,132880,"LAS","SNA","Spirit"
"SAN-SJC","OO",417,132830,"SAN","SJC","Skywest"
"IAD-SEA","AS",2306,132378,"IAD","SEA","Alaska"
"MSP-SMF","DL",1517,132320,"MSP","SMF","Delta"
"IAH-MFE","UA",316,131916,"IAH","MFE","United"
"ORD-PDX","AA",1739,131836,"ORD","PDX","American"
"LAX-TPA","DL",2158,131555,"LAX","TPA","Delta"
"ATL-PHX","AA",1587,131539,"ATL","PHX","American"
"OGG-SEA","HA",2640,131467,"OGG","SEA","Hawaiian"
"BDL-MDW","WN",777,131284,"BDL","MDW","Southwest"
"BNA-CHS","WN",439,131253,"BNA","CHS","Southwest"
"CHS-DFW","AA",987,131244,"CHS","DFW","American"
"GEG-OAK","WN",723,131151,"GEG","OAK","Southwest"
"JFK-SFO","AS",2586,130789,"JFK","SFO","Alaska"
"ATL-MCO","NK",404,130767,"ATL","MCO","Spirit"
"LGA-STL","WN",888,130564,"LGA","STL","Southwest"
"DCA-HOU","WN",1218,130059,"DCA","HOU","Southwest"
"BOS-STL","WN",1047,130011,"BOS","STL","Southwest"
"BNA-MIA","WN",806,129968,"BNA","MIA","Southwest"
"MCO-RDU","WN",534,129885,"MCO","RDU","Southwest"
"ATL-CLE","NK",554,129834,"ATL","CLE","Spirit"
"ATL-AUS","WN",813,129830,"ATL","AUS","Southwest"
"ADQ-ANC","AS",253,129744,"ADQ","ANC","Alaska"
"KOA-LAX","UA",2504,129683,"KOA","LAX","United"
"PDX-SEA","DL",129,129486,"PDX","SEA","Delta"
"OAK-PSP","WN",418,129390,"OAK","PSP","Southwest"
"DEN-STL","OO",770,129274,"DEN","STL","Skywest"
"PSP-SLC","OO",541,129062,"PSP","SLC","Skywest"
"MDW-SMF","WN",1790,129054,"MDW","SMF","Southwest"
"LAS-SBA","WN",289,129044,"LAS","SBA","Southwest"
"DFW-GEG","AA",1477,128891,"DFW","GEG","American"
"FLL-LAX","AA",2343,128826,"FLL","LAX","American"
"ATL-RSW","WN",515,128813,"ATL","RSW","Southwest"
"ATL-MCI","WN",692,128724,"ATL","MCI","Southwest"
"CLE-LAS","F9",1824,128567,"CLE","LAS","Frontier"
"DEN-GRR","UA",1015,128374,"DEN","GRR","United"
"HNL-JFK","HA",4983,128355,"HNL","JFK","Hawaiian"
"ACY-RSW","NK",982,128290,"ACY","RSW","Spirit"
"IAH-SLC","OO",1195,128144,"IAH","SLC","Skywest"
"BNA-SAN","WN",1751,128096,"BNA","SAN","Southwest"
"BWI-SDF","WN",495,127950,"BWI","SDF","Southwest"
"BNA-DEN","OO",1014,127835,"BNA","DEN","Skywest"
"MDW-MEM","WN",480,127637,"MDW","MEM","Southwest"
"IAD-SJU","UA",1571,127628,"IAD","SJU","United"
"BWI-SJU","NK",1565,126480,"BWI","SJU","Spirit"
"CLE-DEN","WN",1201,126132,"CLE","DEN","Southwest"
"LAX-SEA","OO",954,126111,"LAX","SEA","Skywest"
"EWR-MIA","F9",1085,125776,"EWR","MIA","Frontier"
"BQN-MCO","B6",1129,125706,"BQN","MCO","Jetblue"
"ATL-JAX","WN",270,125692,"ATL","JAX","Southwest"
"JFK-SLC","B6",1990,125685,"JFK","SLC","Jetblue"
"DCA-TPA","WN",814,125644,"DCA","TPA","Southwest"
"PIT-RSW","WN",966,125580,"PIT","RSW","Southwest"
"FLL-MYR","NK",529,125415,"FLL","MYR","Spirit"
"ATL-ORD","NK",606,125353,"ATL","ORD","Spirit"
"ATL-MSN","DL",707,125294,"ATL","MSN","Delta"
"OAK-SLC","OO",588,125111,"OAK","SLC","Skywest"
"BOI-SLC","OO",290,125049,"BOI","SLC","Skywest"
"LAS-STL","F9",1371,124986,"LAS","STL","Frontier"
"ISP-MCO","WN",971,124591,"ISP","MCO","Southwest"
"MSY-TPA","WN",488,124550,"MSY","TPA","Southwest"
"PSC-SLC","OO",521,124446,"PSC","SLC","Skywest"
"JFK-PHX","B6",2153,124098,"JFK","PHX","Jetblue"
"BWI-MYR","WN",399,124005,"BWI","MYR","Southwest"
"DEN-TUS","OO",639,123977,"DEN","TUS","Skywest"
"BOS-DEN","B6",1754,123952,"BOS","DEN","Jetblue"
"LAS-LAX","UA",236,123941,"LAS","LAX","United"
"CVG-RSW","F9",879,123921,"CVG","RSW","Frontier"
"MDW-PDX","WN",1751,123887,"MDW","PDX","Southwest"
"MIA-STL","AA",1068,123877,"MIA","STL","American"
"BWI-MCO","F9",787,123783,"BWI","MCO","Frontier"
"FAT-LAX","OO",209,123773,"FAT","LAX","Skywest"
"CLT-SLC","DL",1727,123671,"CLT","SLC","Delta"
"MSP-PHX","WN",1276,123635,"MSP","PHX","Southwest"
"PHL-SEA","AS",2378,122807,"PHL","SEA","Alaska"
"ATL-PWM","DL",1027,122693,"ATL","PWM","Delta"
"ANC-SCC","AS",626,122664,"ANC","SCC","Alaska"
"BNA-IAH","WN",657,122558,"BNA","IAH","Southwest"
"IAH-MSP","OO",1034,122511,"IAH","MSP","Skywest"
"CLT-MCO","NK",468,122191,"CLT","MCO","Spirit"
"MKE-ORD","OO",67,122083,"MKE","ORD","Skywest"
"LAS-MCO","WN",2039,121951,"LAS","MCO","Southwest"
"MKE-TPA","WN",1075,121714,"MKE","TPA","Southwest"
"ANC-JNU","AS",571,121671,"ANC","JNU","Alaska"
"MCI-ORD","UA",403,121657,"MCI","ORD","United"
"CVG-DEN","F9",1069,121340,"CVG","DEN","Frontier"
"BWI-SAV","WN",549,121220,"BWI","SAV","Southwest"
"CHS-MDW","WN",745,121015,"CHS","MDW","Southwest"
"DFW-JAC","AA",1047,120831,"DFW","JAC","American"
"DEN-ORD","F9",888,120777,"DEN","ORD","Frontier"
"CLT-CMH","AA",347,120754,"CLT","CMH","American"
"HOU-MCI","WN",666,120752,"HOU","MCI","Southwest"
"AUS-MCO","NK",994,120679,"AUS","MCO","Spirit"
"DFW-IAD","AA",1172,120665,"DFW","IAD","American"
"DTW-PHX","AA",1671,120531,"DTW","PHX","American"
"ORD-RDU","AA",646,120451,"ORD","RDU","American"
"BHM-MCO","WN",479,120336,"BHM","MCO","Southwest"
"HNL-LAX","WN",2556,120125,"HNL","LAX","Southwest"
"DEN-MKE","OO",896,120024,"DEN","MKE","Skywest"
"ORD-SEA","DL",1721,119990,"ORD","SEA","Delta"
"AUS-MSY","WN",444,119986,"AUS","MSY","Southwest"
"AUS-SJC","WN",1476,119961,"AUS","SJC","Southwest"
"MCI-STL","WN",237,119945,"MCI","STL","Southwest"
"DAL-MIA","WN",1109,119682,"DAL","MIA","Southwest"
"CLE-MSP","OO",622,119475,"CLE","MSP","Skywest"
"AUS-TPA","WN",928,119291,"AUS","TPA","Southwest"
"SLC-STL","DL",1156,119272,"SLC","STL","Delta"
"PHX-SFO","UA",651,119252,"PHX","SFO","United"
"MCO-ORD","F9",1005,119198,"MCO","ORD","Frontier"
"BNA-SRQ","WN",648,119165,"BNA","SRQ","Southwest"
"DFW-JFK","AA",1391,118693,"DFW","JFK","American"
"DAL-SEA","AS",1670,118639,"DAL","SEA","Alaska"
"DEN-DSM","UA",589,118357,"DEN","DSM","United"
"IAH-MDW","WN",917,118331,"IAH","MDW","Southwest"
"BNA-MCO","NK",616,118261,"BNA","MCO","Spirit"
"PHL-RSW","F9",993,118258,"PHL","RSW","Frontier"
"DTW-MCI","DL",629,118196,"DTW","MCI","Delta"
"DEN-MSO","UA",679,118144,"DEN","MSO","United"
"IAH-ORD","AA",925,118039,"IAH","ORD","American"
"ANC-BET","AS",399,117947,"ANC","BET","Alaska"
"MSY-ORD","UA",836,117902,"MSY","ORD","United"
"BDL-IAD","UA",326,117795,"BDL","IAD","United"
"DEN-PHL","F9",1558,117711,"DEN","PHL","Frontier"
"FLL-HPN","B6",1097,117670,"FLL","HPN","Jetblue"
"LAS-ORD","F9",1514,117639,"LAS","ORD","Frontier"
"DEN-SEA","OO",1024,117591,"DEN","SEA","Skywest"
"DEN-PSP","UA",776,117558,"DEN","PSP","United"
"LGA-MCO","NK",950,117508,"LGA","MCO","Spirit"
"ABQ-SLC","OO",493,117287,"ABQ","SLC","Skywest"
"JFK-RDU","B6",427,117264,"JFK","RDU","Jetblue"
"MCO-MSP","NK",1310,117096,"MCO","MSP","Spirit"
"LGA-PBI","B6",1035,117078,"LGA","PBI","Jetblue"
"PHX-SLC","AA",507,116907,"PHX","SLC","American"
"LAS-MSY","WN",1500,116848,"LAS","MSY","Southwest"
"DEN-DTW","WN",1123,116839,"DEN","DTW","Southwest"
"DTW-MKE","DL",237,116630,"DTW","MKE","Delta"
"ORD-TUS","AA",1437,116537,"ORD","TUS","American"
"LAS-TPA","WN",1984,116389,"LAS","TPA","Southwest"
"ORD-SLC","OO",1250,116310,"ORD","SLC","Skywest"
"OMA-SLC","OO",840,116303,"OMA","SLC","Skywest"
"DEN-ONT","F9",819,116249,"DEN","ONT","Frontier"
"MDW-SJC","WN",1838,116201,"MDW","SJC","Southwest"
"SAN-SMF","OO",480,116050,"SAN","SMF","Skywest"
"HPN-RSW","B6",1102,115990,"HPN","RSW","Jetblue"
"CLT-OMA","AA",913,115989,"CLT","OMA","American"
"DEN-MIA","F9",1709,115828,"DEN","MIA","Frontier"
"FLL-STT","NK",1107,115667,"FLL","STT","Spirit"
"SAT-SEA","AS",1774,115636,"SAT","SEA","Alaska"
"OGG-SJC","WN",2355,115425,"OGG","SJC","Southwest"
"DFW-EYW","AA",1089,115404,"DFW","EYW","American"
"ATL-ORD","AA",606,115340,"ATL","ORD","American"
"CMH-PHX","WN",1670,115326,"CMH","PHX","Southwest"
"DEN-RAP","OO",300,115230,"DEN","RAP","Skywest"
"BOS-LAX","UA",2611,115188,"BOS","LAX","United"
"ATL-MEM","WN",332,115106,"ATL","MEM","Southwest"
"BWI-SEA","AS",2335,115090,"BWI","SEA","Alaska"
"SEA-TUS","AS",1216,115048,"SEA","TUS","Alaska"
"MSP-RDU","DL",980,115001,"MSP","RDU","Delta"
"BOS-JAX","B6",1010,114941,"BOS","JAX","Jetblue"
"DTW-LGA","NK",502,114936,"DTW","LGA","Spirit"
"SGU-SLC","OO",272,114849,"SGU","SLC","Skywest"
"OAK-SLC","DL",588,114848,"OAK","SLC","Delta"
"FLL-LAX","NK",2343,114786,"FLL","LAX","Spirit"
"DFW-SAF","OO",551,114702,"DFW","SAF","Skywest"
"SAT-SLC","DL",1087,114660,"SAT","SLC","Delta"
"MKE-PHX","AA",1460,114595,"MKE","PHX","American"
"RNO-SAN","WN",488,114510,"RNO","SAN","Southwest"
"MDW-SRQ","WN",1035,114380,"MDW","SRQ","Southwest"
"MCI-TPA","WN",1048,114322,"MCI","TPA","Southwest"
"AUS-JFK","AA",1521,114121,"AUS","JFK","American"
"DTW-MSY","DL",926,114112,"DTW","MSY","Delta"
"DAL-SMF","WN",1442,114063,"DAL","SMF","Southwest"
"HNL-PDX","HA",2603,114049,"HNL","PDX","Hawaiian"
"BUF-MCO","F9",1011,114014,"BUF","MCO","Frontier"
"DEN-SJC","UA",948,113796,"DEN","SJC","United"
"DEN-IDA","OO",458,113780,"DEN","IDA","Skywest"
"AUS-FLL","WN",1105,113468,"AUS","FLL","Southwest"
"ATL-CMH","WN",447,113449,"ATL","CMH","Southwest"
"EWR-RSW","B6",1068,113355,"EWR","RSW","Jetblue"
"EWR-SLC","DL",1969,113280,"EWR","SLC","Delta"
"MSO-SLC","OO",436,113121,"MSO","SLC","Skywest"
"MKE-MSP","DL",297,113050,"MKE","MSP","Delta"
"AUS-STL","WN",721,113002,"AUS","STL","Southwest"
"BDL-DFW","AA",1471,112987,"BDL","DFW","American"
"DEN-JFK","DL",1626,112964,"DEN","JFK","Delta"
"MSP-PHL","DL",980,112812,"MSP","PHL","Delta"
"COS-LAS","WN",604,112580,"COS","LAS","Southwest"
"ANC-DEN","UA",2405,112461,"ANC","DEN","United"
"BNA-VPS","WN",389,112271,"BNA","VPS","Southwest"
"DEN-TPA","F9",1506,112242,"DEN","TPA","Frontier"
"LAS-MCI","NK",1139,112176,"LAS","MCI","Spirit"
"DCA-STL","WN",719,112160,"DCA","STL","Southwest"
"CLE-MCO","UA",895,112125,"CLE","MCO","United"
"DTW-GRR","DL",120,111858,"DTW","GRR","Delta"
"CVG-MDW","WN",249,111768,"CVG","MDW","Southwest"
"EWR-LAS","NK",2227,111738,"EWR","LAS","Spirit"
"DEN-JFK","B6",1626,111716,"DEN","JFK","Jetblue"
"ATL-TYS","DL",152,111668,"ATL","TYS","Delta"
"ORD-SJU","UA",2072,111658,"ORD","SJU","United"
"ORD-SNA","UA",1726,111656,"ORD","SNA","United"
"DCA-LAX","AS",2311,111638,"DCA","LAX","Alaska"
"DEN-ONT","UA",819,111617,"DEN","ONT","United"
"ONT-SLC","OO",558,111171,"ONT","SLC","Skywest"
"SLC-SUN","OO",222,111084,"SLC","SUN","Skywest"
"ATL-FLL","B6",581,110961,"ATL","FLL","Jetblue"
"LAS-OKC","WN",986,110876,"LAS","OKC","Southwest"
"CLT-IND","AA",427,110681,"CLT","IND","American"
"ATL-LGA","F9",762,110593,"ATL","LGA","Frontier"
"DEN-RDU","F9",1436,110451,"DEN","RDU","Frontier"
"CVG-RSW","DL",879,110387,"CVG","RSW","Delta"
"BNA-CMH","WN",337,110296,"BNA","CMH","Southwest"
"LAS-PDX","F9",763,110141,"LAS","PDX","Frontier"
"DEN-MIA","UA",1709,110101,"DEN","MIA","United"
"KOA-PHX","AA",2860,109941,"KOA","PHX","American"
"CLT-SMF","AA",2244,109799,"CLT","SMF","American"
"EWR-SFO","B6",2565,109754,"EWR","SFO","Jetblue"
"EWR-LAX","AS",2454,109621,"EWR","LAX","Alaska"
"DEN-LAX","OO",862,109405,"DEN","LAX","Skywest"
"DTW-MYR","NK",636,109236,"DTW","MYR","Spirit"
"ORD-STL","OO",258,109221,"ORD","STL","Skywest"
"PHL-SEA","AA",2378,109081,"PHL","SEA","American"
"DTW-IAD","OO",383,108931,"DTW","IAD","Skywest"
"DEN-PDX","F9",991,108650,"DEN","PDX","Frontier"
"MKE-MSP","OO",297,108607,"MKE","MSP","Skywest"
"CLE-LAS","NK",1824,108532,"CLE","LAS","Spirit"
"MYR-ORD","NK",753,108379,"MYR","ORD","Spirit"
"IAD-RDU","UA",224,108369,"IAD","RDU","United"
"DEN-MSP","F9",680,108300,"DEN","MSP","Frontier"
"RDU-SEA","AS",2354,108249,"RDU","SEA","Alaska"
"CVG-LAS","F9",1678,108084,"CVG","LAS","Frontier"
"ATL-IAH","NK",689,108074,"ATL","IAH","Spirit"
"ALB-MCO","WN",1073,107874,"ALB","MCO","Southwest"
"MCO-SAT","WN",1041,107827,"MCO","SAT","Southwest"
"ALB-CLT","AA",646,107608,"ALB","CLT","American"
"DFW-ORD","UA",801,107598,"DFW","ORD","United"
"LBE-MCO","NK",823,107519,"LBE","MCO","Spirit"
"DAL-PNS","WN",592,107363,"DAL","PNS","Southwest"
"DCA-IAH","UA",1208,107234,"DCA","IAH","United"
"DEN-STL","F9",770,107183,"DEN","STL","Frontier"
"DTW-SAT","DL",1214,107177,"DTW","SAT","Delta"
"MCO-MHT","WN",1142,107136,"MCO","MHT","Southwest"
"ATL-TPA","NK",406,107064,"ATL","TPA","Spirit"
"IAD-ORF","UA",157,106979,"IAD","ORF","United"
"CLE-IAH","UA",1091,106922,"CLE","IAH","United"
"AUS-MCO","AA",994,106777,"AUS","MCO","American"
"SLC-TPA","DL",1888,106776,"SLC","TPA","Delta"
"HNL-OAK","HA",2409,106353,"HNL","OAK","Hawaiian"
"OGG-PDX","AS",2562,106221,"OGG","PDX","Alaska"
"MCO-PDX","AS",2534,106131,"MCO","PDX","Alaska"
"BIL-SLC","OO",387,106109,"BIL","SLC","Skywest"
"PVD-TPA","WN",1136,106066,"PVD","TPA","Southwest"
"ORD-SAT","AA",1041,106052,"ORD","SAT","American"
"SJU-TPA","B6",1237,106042,"SJU","TPA","Jetblue"
"MCO-PVD","B6",1072,105726,"MCO","PVD","Jetblue"
"MSP-SNA","DL",1522,105675,"MSP","SNA","Delta"
"BOS-SJU","NK",1674,105594,"BOS","SJU","Spirit"
"PHX-PSP","WN",261,105519,"PHX","PSP","Southwest"
"SAN-STL","WN",1557,105504,"SAN","STL","Southwest"
"LAS-MIA","F9",2174,105459,"LAS","MIA","Frontier"
"DFW-DRO","OO",674,105403,"DFW","DRO","Skywest"
"DFW-KOA","AA",3724,105335,"DFW","KOA","American"
"CLE-IAD","UA",288,105328,"CLE","IAD","United"
"PSC-SEA","OO",172,105221,"PSC","SEA","Skywest"
"ORD-RDU","UA",646,105208,"ORD","RDU","United"
"FLL-MSY","WN",674,105170,"FLL","MSY","Southwest"
"IND-MSP","DL",503,104920,"IND","MSP","Delta"
"FLL-RDU","DL",680,104826,"FLL","RDU","Delta"
"HNL-SJC","HA",2417,104751,"HNL","SJC","Hawaiian"
"AUS-DEN","F9",775,104664,"AUS","DEN","Frontier"
"DFW-ORD","NK",801,104483,"DFW","ORD","Spirit"
"BOI-PHX","AA",735,104263,"BOI","PHX","American"
"RNO-SFO","OO",192,104086,"RNO","SFO","Skywest"
"HNL-SMF","WN",2462,104037,"HNL","SMF","Southwest"
"MIA-SEA","AA",2724,103969,"MIA","SEA","American"
"LAS-PIT","WN",1910,103928,"LAS","PIT","Southwest"
"LAS-SMF","F9",397,103842,"LAS","SMF","Frontier"
"BNA-IAH","OO",657,103744,"BNA","IAH","Skywest"
"ANC-FAI","AS",261,103677,"ANC","FAI","Alaska"
"MSP-PIT","OO",726,103472,"MSP","PIT","Skywest"
"GRR-MSP","OO",408,103469,"GRR","MSP","Skywest"
"HNL-LAS","WN",2762,103373,"HNL","LAS","Southwest"
"FWA-ORD","OO",157,103371,"FWA","ORD","Skywest"
"EWR-SJU","NK",1608,103239,"EWR","SJU","Spirit"
"CLT-DEN","F9",1337,103195,"CLT","DEN","Frontier"
"DEN-LGA","DL",1620,103115,"DEN","LGA","Delta"
"ATL-PHL","WN",666,103009,"ATL","PHL","Southwest"
"DFW-TPA","NK",929,102945,"DFW","TPA","Spirit"
"ECP-HOU","WN",571,102918,"ECP","HOU","Southwest"
"ATL-LEX","DL",304,102885,"ATL","LEX","Delta"
"DEN-IAH","NK",862,102839,"DEN","IAH","Spirit"
"DEN-FAR","OO",627,102826,"DEN","FAR","Skywest"
"OGG-SAN","AS",2541,102632,"OGG","SAN","Alaska"
"LGA-MCO","F9",950,102609,"LGA","MCO","Frontier"
"ORD-ORF","UA",717,102550,"ORD","ORF","United"
"MCO-SDF","WN",719,102455,"MCO","SDF","Southwest"
"FLG-PHX","OO",119,102389,"FLG","PHX","Skywest"
"CLT-HNL","AA",4678,102340,"CLT","HNL","American"
"ATL-PHL","NK",666,102023,"ATL","PHL","Spirit"
"EUG-SEA","OO",234,101896,"EUG","SEA","Skywest"
"ATL-ORD","UA",606,101892,"ATL","ORD","United"
"BZN-ORD","UA",1186,101808,"BZN","ORD","United"
"BNA-ORD","UA",409,101670,"BNA","ORD","United"
"ONT-SEA","OO",956,101659,"ONT","SEA","Skywest"
"FLL-IND","NK",1005,101545,"FLL","IND","Spirit"
"IAH-LAX","DL",1379,101297,"IAH","LAX","Delta"
"LAS-SNA","F9",226,101123,"LAS","SNA","Frontier"
"BOS-MCO","F9",1121,101075,"BOS","MCO","Frontier"
"BQN-JFK","B6",1576,100991,"BQN","JFK","Jetblue"
"IAD-SEA","UA",2306,100896,"IAD","SEA","United"
"PHX-PSP","OO",261,100843,"PHX","PSP","Skywest"
"FLL-SLC","DL",2084,100698,"FLL","SLC","Delta"
"BDL-MYR","NK",664,100657,"BDL","MYR","Spirit"
"HNL-MSP","DL",3972,100641,"HNL","MSP","Delta"
"AUS-ELP","WN",528,100631,"AUS","ELP","Southwest"
"ABQ-SEA","AS",1180,100530,"ABQ","SEA","Alaska"
"RDU-TPA","DL",587,100448,"RDU","TPA","Delta"
"HNL-LGB","HA",2569,100340,"HNL","LGB","Hawaiian"
"CLE-MIA","AA",1080,100337,"CLE","MIA","American"
"IAH-ORD","NK",925,100216,"IAH","ORD","Spirit"
"DCA-SLC","DL",1851,100165,"DCA","SLC","Delta"
"AUS-FLL","NK",1105,100059,"AUS","FLL","Spirit"
"BNA-FLL","NK",793,99944,"BNA","FLL","Spirit"
"OGG-SMF","HA",2404,99729,"OGG","SMF","Hawaiian"
"FLL-JFK","AA",1069,99529,"FLL","JFK","American"
"LAS-MSY","NK",1500,99489,"LAS","MSY","Spirit"
"AUS-IAD","UA",1297,99381,"AUS","IAD","United"
"MIA-SAN","AA",2267,99345,"MIA","SAN","American"
