"pair","carrier","dist","pass","port1","port2","carrier_name","Hubs","city1","city2","nsmiles","passengers_sum","fare","ppm","income"
"CLT-PHX","AA",1773,777466,"CLT","PHX","American",1,"Charlotte, NC","Phoenix, AZ",1773,2270,250.803035242291,0.141456872669087,569322.89
"CLT-PHL","AA",449,776884,"CLT","PHL","American",1,"Charlotte, NC","Philadelphia, PA",449,2415,161.967933747412,0.360730364693568,391152.56
"ATL-RSW","DL",515,767841,"ATL","RSW","Delta",1,"Atlanta, GA","Fort Myers, FL",515,1860,176.282258064516,0.342295646727216,327885
"DFW-PHL","AA",1303,765812,"DFW","PHL","American",1,"Dallas/Fort Worth, TX","Philadelphia, PA",1303,3833,225.915585703105,0.173381109518883,865934.44
"CLT-LAX","AA",2125,761434,"CLT","LAX","American",1,"Charlotte, NC","Los Angeles, CA",2125,3739,276.925833110457,0.130318039110803,1035425.69
"LAS-SEA","AS",867,758058,"LAS","SEA","Alaska",1,"Las Vegas, NV","Seattle, WA",867,9626,150.173129025556,0.173210068080226,1445566.54
"ATL-DCA","DL",547,754902,"ATL","DCA","Delta",1,"Atlanta, GA","Washington, DC",577,12391,174.958043741425,0.319850171373721,2167905.12
"IAH-SFO","UA",1635,747527,"IAH","SFO","United",1,"Houston, TX","San Francisco, CA",1649,4840,279.04630785124,0.170670524679657,1350584.13
"ATL-DFW","DL",731,739052,"ATL","DFW","Delta",1,"Atlanta, GA","Dallas/Fort Worth, TX",731,9971,149.088372279611,0.203951261668414,1486560.16
"ATL-CHS","DL",259,738662,"ATL","CHS","Delta",1,"Atlanta, GA","Charleston, SC",259,261,191.53,0.73949806949807,49989.33
"LGA-MIA","AA",1096,725918,"LGA","MIA","American",1,"New York City, NY","Miami, FL",1139,54581,160.470923430573,0.146415076122785,8758663.47176409
"MCO-MDW","WN",990,725455,"MCO","MDW","Southwest",1,"Orlando, FL","Chicago, IL",1005,13382,141.218157973397,0.142644604013532,1889781.39
"LAS-MDW","WN",1521,723006,"LAS","MDW","Southwest",1,"Las Vegas, NV","Chicago, IL",1521,12315,176.278227365002,0.115896270456938,2170866.37
"ATL-SEA","DL",2182,722148,"ATL","SEA","Delta",1,"Atlanta, GA","Seattle, WA",2182,3354,303.974123434705,0.139309864085566,1019529.21
"JFK-MCO","B6",944,719999,"JFK","MCO","Jetblue",1,"New York City, NY","Orlando, FL",984.75,33628,149.676715832045,0.15855584304242,5033328.6
"ATL-PHL","DL",666,706430,"ATL","PHL","Delta",1,"Atlanta, GA","Philadelphia, PA",666,6207,164.947961978411,0.247669612580197,1023832
"ATL-AUS","DL",813,703790,"ATL","AUS","Delta",1,"Atlanta, GA","Austin, TX",813,3225,171.301627906977,0.210703109356675,552447.75
"DTW-MCO","DL",957,700647,"DTW","MCO","Delta",1,"Detroit, MI","Orlando, FL",957,7562,175.158952658027,0.183029208629077,1324552
"SAN-SEA","AS",1050,699611,"SAN","SEA","Alaska",1,"San Diego, CA","Seattle, WA",1050,7730,150.255949547219,0.143100904330684,1161478.49
"ATL-BNA","DL",214,698390,"ATL","BNA","Delta",1,"Atlanta, GA","Nashville, TN",214,1022,168.439050880626,0.787098368601057,172144.71
"MCO-MIA","AA",192,694839,"MCO","MIA","American",1,"Orlando, FL","Miami, FL",192,1516,126.20580474934,0.657321899736148,191328
"DFW-TPA","AA",929,692444,"DFW","TPA","American",1,"Dallas/Fort Worth, TX","Tampa, FL",929,4523,166.926214901614,0.17968376200389,755007.27
"ATL-MSY","DL",425,690447,"ATL","MSY","Delta",1,"Atlanta, GA","New Orleans, LA",425,2966,159.978506405934,0.376420015072786,474496.25
"DEN-LAX","UA",862,684375,"DEN","LAX","United",1,"Denver, CO","Los Angeles, CA",862,14550,144.086572191716,0.167153796046074,2096459.62538947
"ATL-PHX","DL",1587,683974,"ATL","PHX","Delta",1,"Atlanta, GA","Phoenix, AZ",1587,4063,260.121875461482,0.163907924046302,1056875.18
"MDW-PHX","WN",1444,678630,"MDW","PHX","Southwest",1,"Chicago, IL","Phoenix, AZ",1444,12965,176.195451600463,0.122019010803645,2284374.03
"DFW-SFO","AA",1464,678162,"DFW","SFO","American",1,"Dallas/Fort Worth, TX","San Francisco, CA",1476,6869,235.108761100597,0.16059341605232,1614962.08
"DEN-LAS","WN",628,672470,"DEN","LAS","Southwest",1,"Denver, CO","Las Vegas, NV",628,6477,149.827183881427,0.238578318282526,970430.67
"MIA-PHL","AA",1013,672239,"MIA","PHL","American",1,"Miami, FL","Philadelphia, PA",1013,8720,159.56503440367,0.157517309381707,1391407.1
"DCA-MIA","AA",919,670523,"DCA","MIA","American",1,"Washington, DC","Miami, FL",946,15765,169.473386280903,0.184410648836673,2671747.93471843
"LAX-SLC","DL",590,668757,"LAX","SLC","Delta",1,"Los Angeles, CA","Salt Lake City, UT",590,11183,162.27670571403,0.275045263922085,1814740.4
