"pair","carrier","dist","pass","port1","port2","port1_lat","port1_lon","port2_lat","port2_lon","carrier_name","Color"
"CLT-SMF","AA",2244,109799,"CLT","SMF",35.2140007,-80.94309998,38.69540024,-121.5910034,"American","#C42D31"
"EWR-SFO","B6",2565,109754,"EWR","SFO",40.692501,-74.168701,37.61899948,-122.375,"Jetblue","#303E71"
"EWR-LAX","AS",2454,109621,"EWR","LAX",40.692501,-74.168701,33.942501,-118.407997,"Alaska","#202050"
"DEN-LAX","OO",862,109405,"DEN","LAX",39.86169815,-104.6729965,33.942501,-118.407997,"Skywest","#37509A"
"DTW-MYR","NK",636,109236,"DTW","MYR",42.21239853,-83.35340118,33.67969894,-78.92829895,"Spirit","#FDEB03"
"ORD-STL","OO",258,109221,"ORD","STL",41.9786,-87.9048,38.748697,-90.370003,"Skywest","#37509A"
"PHL-SEA","AA",2378,109081,"PHL","SEA",39.87189865,-75.2410965,47.449001,-122.308998,"American","#C42D31"
"DTW-IAD","OO",383,108931,"DTW","IAD",42.21239853,-83.35340118,38.9445,-77.455803,"Skywest","#37509A"
"DEN-PDX","F9",991,108650,"DEN","PDX",39.86169815,-104.6729965,45.58869934,-122.5979996,"Frontier","#418369"
"MKE-MSP","OO",297,108607,"MKE","MSP",42.94720078,-87.89659882,44.882,-93.221802,"Skywest","#37509A"
"CLE-LAS","NK",1824,108532,"CLE","LAS",41.4117012,-81.84980011,36.08010101,-115.1520004,"Spirit","#FDEB03"
"MYR-ORD","NK",753,108379,"MYR","ORD",33.67969894,-78.92829895,41.9786,-87.9048,"Spirit","#FDEB03"
"IAD-RDU","UA",224,108369,"IAD","RDU",38.9445,-77.455803,35.87760162,-78.78749847,"United","#3782CC"
"DEN-MSP","F9",680,108300,"DEN","MSP",39.86169815,-104.6729965,44.882,-93.221802,"Frontier","#418369"
