"city1","city2","nsmiles","passengers_sum","fare_mean","carrier_lg","fare_lg","carrier_low","fare_low","fare_other","port1_lat","port1_lon","port2_lat","port2_lon"
"Boise, ID","Los Angeles, CA",688,3214,143.101589919104,"AS",137.893652769135,"AS",137.893652769135,142.639006766722,43.5644,-116.223,33.942501,-118.407997
"Boise, ID","Phoenix, AZ",749,1778,143.986709786277,"WN",140.211445444319,"WN",139.572047244094,150.241800445494,43.5644,-116.223,33.435302,-112.005905
"Boise, ID","Portland, OR",344,953,172.290954879328,"AS",172.402822665268,"DL",165.655960125918,171.220713115139,43.5644,-116.223,45.58869934,-122.5979996
"Boise, ID","Sacramento, CA",437,865,140.258161849711,"WN",143.049606936416,"AS",134.099919075144,165.653615404416,43.5644,-116.223,38.69540024,-121.5910034
"Boise, ID","San Diego, CA",749,1071,154.798562091503,"AS",143.150896358543,"WN",140.285574229692,175.077161530776,43.5644,-116.223,32.73360062,-117.1900024
"Boise, ID","San Francisco, CA",523,2012,139.517246520875,"WN",131.471674950298,"WN",130.291058648111,150.224005412499,43.5644,-116.223,37.61899948,-122.375
"Boise, ID","Seattle, WA",399,2607,117.120199462984,"AS",115.346440352896,"AS",115.346440352896,125.214790197747,43.5644,-116.223,47.449001,-122.308998
"Boston, MA","Charleston, SC",836,1815,201.604782369146,"B6",200.368699724518,"B6",175.036644628099,208.983201091714,42.3643,-71.005203,32.898602,-80.040497
"Boston, MA","Charlotte, NC",737,4398,185.575011368804,"AA",191.340184174625,"UA",157.506898590268,180.400485063441,42.3643,-71.005203,35.2140007,-80.94309998
"Boston, MA","Chicago, IL",867,9010,181.907834628191,"AA",192.778385127636,"WN",159.556129855716,166.632685433967,42.3643,-71.005203,41.9786,-87.9048
"Boston, MA","Cincinnati, OH",752,1153,236.667285342585,"DL",260.993694709454,"WN",205.269627059844,185.242190655453,42.3643,-71.005203,39.048801,-84.667801
"Boston, MA","Cleveland, OH",563,1582,171.068742098609,"DL",164.317781289507,"DL",164.317781289507,178.845498052151,42.3643,-71.005203,41.4117012,-81.84980011
"Boston, MA","Columbus, OH",640,919,208.494243743199,"DL",219.699412404788,"AA",193.57922742111,200.351204225831,42.3643,-71.005203,39.998001,-82.891899
"Boston, MA","Dallas/Fort Worth, TX",1562,4864,237.812808388158,"AA",251.508336759868,"B6",193.034747121711,216.842522121888,42.3643,-71.005203,32.896801,-97.038002
"Boston, MA","Denver, CO",1754,5532,259.722371655821,"UA",282.104566160521,"WN",228.032725958062,238.008069065949,42.3643,-71.005203,39.86169815,-104.6729965
"Boston, MA","Detroit, MI",632,2830,187.370169611307,"DL",193.105356890459,"B6",159.203356890459,190.304138733509,42.3643,-71.005203,42.21239853,-83.35340118
"Boston, MA","Fort Myers, FL",1271,5260,204.559627376426,"B6",215.853406844106,"F9",151.147969581749,191.667553954381,42.3643,-71.005203,26.53619957,-81.75520325
